,symbol,date,open,close,volume,spread,up/down
183,BTC,2013-10-28,196.21,198.55,0.0,6.56,UP
184,BTC,2013-10-29,198.55,204.39,0.0,6.24,UP
185,BTC,2013-10-30,204.39,199.97,0.0,9.19,DOWN
186,BTC,2013-10-31,199.83,204.0,0.0,6.33,UP
187,BTC,2013-11-01,203.9,206.18,0.0,4.52,UP
188,BTC,2013-11-02,205.81,206.22,0.0,6.11,UP
189,BTC,2013-11-03,205.99,215.05,0.0,11.06,UP
190,BTC,2013-11-04,214.66,229.1,0.0,17.07,UP
191,BTC,2013-11-05,229.21,245.24,0.0,24.44,UP
192,BTC,2013-11-06,244.78,262.5,0.0,18.22,UP
193,BTC,2013-11-07,261.68,296.41,0.0,42.62,UP
194,BTC,2013-11-08,297.85,338.11,0.0,41.73,UP
195,BTC,2013-11-09,338.58,339.11,0.0,51.11,UP
196,BTC,2013-11-10,348.82,326.62,0.0,73.46,DOWN
197,BTC,2013-11-11,325.41,342.44,0.0,39.49,UP
198,BTC,2013-11-12,343.06,360.33,0.0,20.01,UP
199,BTC,2013-11-13,360.97,407.37,0.0,54.25,UP
200,BTC,2013-11-14,406.41,420.2,0.0,30.71,UP
201,BTC,2013-11-15,419.41,417.95,0.0,41.78,DOWN
202,BTC,2013-11-16,417.28,440.22,0.0,34.69,UP
203,BTC,2013-11-17,440.96,492.11,0.0,60.34,UP
204,BTC,2013-11-18,496.58,703.56,0.0,208.84,UP
205,BTC,2013-11-19,712.76,584.61,0.0,349.72,DOWN
206,BTC,2013-11-20,577.98,590.83,0.0,151.2,UP
207,BTC,2013-11-21,594.32,722.43,0.0,156.11,UP
208,BTC,2013-11-22,724.07,771.44,0.0,112.72,UP
209,BTC,2013-11-23,771.7,797.82,0.0,73.27,UP
210,BTC,2013-11-24,795.63,774.25,0.0,84.49,DOWN
211,BTC,2013-11-25,773.02,799.11,0.0,56.25,UP
212,BTC,2013-11-26,805.73,928.1,0.0,127.74,UP
213,BTC,2013-11-27,923.85,1001.96,0.0,110.28,UP
214,BTC,2013-11-28,1003.38,1031.95,0.0,115.39,UP
215,BTC,2013-11-29,1042.01,1131.97,0.0,146.33,UP
216,BTC,2013-11-30,1129.37,1129.43,0.0,49.53,UP
217,BTC,2013-12-01,1128.92,955.85,0.0,331.26,DOWN
218,BTC,2013-12-02,951.42,1043.33,0.0,117.01,UP
219,BTC,2013-12-03,1046.4,1078.28,0.0,84.79,UP
220,BTC,2013-12-04,1077.58,1151.17,0.0,85.96,UP
221,BTC,2013-12-05,1152.73,1045.11,0.0,257.25,DOWN
222,BTC,2013-12-06,1042.38,829.45,0.0,212.93,DOWN
223,BTC,2013-12-07,835.32,698.23,0.0,214.42,DOWN
224,BTC,2013-12-08,697.31,795.87,0.0,131.63,UP
225,BTC,2013-12-09,793.8,893.19,0.0,141.03,UP
226,BTC,2013-12-10,892.32,988.51,0.0,104.91,UP
227,BTC,2013-12-11,989.07,878.48,0.0,167.35,DOWN
228,BTC,2013-12-12,882.78,873.26,0.0,56.99,DOWN
229,BTC,2013-12-13,874.98,892.58,0.0,81.74,UP
230,BTC,2013-12-14,899.85,872.6,0.0,46.29,DOWN
231,BTC,2013-12-15,875.29,876.12,0.0,61.16,UP
232,BTC,2013-12-16,880.33,705.97,0.0,214.0,DOWN
233,BTC,2013-12-17,706.37,682.12,0.0,123.95,DOWN
234,BTC,2013-12-18,678.2,522.7,0.0,258.81,DOWN
235,BTC,2013-12-19,519.06,691.96,0.0,204.34,UP
236,BTC,2013-12-20,694.22,625.32,0.0,133.83,DOWN
237,BTC,2013-12-21,619.9,605.66,0.0,75.1,DOWN
238,BTC,2013-12-22,601.78,617.18,0.0,81.1,UP
239,BTC,2013-12-23,613.06,673.41,0.0,69.87,UP
240,BTC,2013-12-24,672.36,665.58,0.0,38.68,DOWN
241,BTC,2013-12-25,666.31,682.21,0.0,33.22,UP
242,BTC,2013-12-26,683.94,761.98,0.0,93.81,UP
243,BTC,2013-12-27,763.28,735.07,46862700.0,63.91,DOWN
244,BTC,2013-12-28,737.98,727.83,32505800.0,41.71,DOWN
245,BTC,2013-12-29,728.05,745.05,19011300.0,34.17,UP
246,BTC,2013-12-30,741.35,756.13,20707700.0,26.36,UP
247,BTC,2013-12-31,760.32,754.01,20897300.0,22.41,DOWN
248,BTC,2014-01-01,754.97,771.4,22489400.0,20.38,UP
249,BTC,2014-01-02,773.44,802.39,38489500.0,53.1,UP
250,BTC,2014-01-03,802.85,818.72,37810100.0,45.03,UP
251,BTC,2014-01-04,823.27,859.51,38005000.0,57.84,UP
252,BTC,2014-01-05,858.55,933.53,72898500.0,97.88,UP
253,BTC,2014-01-06,936.05,953.29,85565700.0,111.41,UP
254,BTC,2014-01-07,946.49,802.0,81311700.0,163.74,DOWN
255,BTC,2014-01-08,795.99,842.72,74175600.0,94.5,UP
256,BTC,2014-01-09,841.47,846.86,59998600.0,60.22,UP
257,BTC,2014-01-10,846.69,868.48,31876800.0,48.59,UP
258,BTC,2014-01-11,867.32,913.95,44754200.0,59.76,UP
259,BTC,2014-01-12,919.6,863.22,39623500.0,77.35,DOWN
260,BTC,2014-01-13,860.19,841.2,45580900.0,55.24,DOWN
261,BTC,2014-01-14,843.17,833.27,20829800.0,30.03,DOWN
262,BTC,2014-01-15,833.12,860.9,28107200.0,41.95,UP
263,BTC,2014-01-16,860.29,835.63,19149300.0,30.53,DOWN
264,BTC,2014-01-17,834.49,814.64,39031700.0,45.28,DOWN
265,BTC,2014-01-18,816.07,840.0,18052700.0,25.42,UP
266,BTC,2014-01-19,839.66,870.96,24365700.0,45.43,UP
267,BTC,2014-01-20,871.39,870.2,27652700.0,32.52,DOWN
268,BTC,2014-01-21,869.65,863.91,18997300.0,25.27,DOWN
269,BTC,2014-01-22,867.21,845.59,18453700.0,32.79,DOWN
270,BTC,2014-01-23,845.46,822.04,15607100.0,32.25,DOWN
271,BTC,2014-01-24,822.43,797.07,34912000.0,38.85,DOWN
272,BTC,2014-01-25,796.24,853.61,24303900.0,68.49,UP
273,BTC,2014-01-26,853.68,885.28,32224300.0,52.16,UP
274,BTC,2014-01-27,884.6,771.39,49233600.0,135.89,DOWN
275,BTC,2014-01-28,774.02,812.51,44875500.0,65.52,UP
276,BTC,2014-01-29,809.96,826.0,17984400.0,27.02,UP
277,BTC,2014-01-30,826.02,819.03,29918200.0,31.44,DOWN
278,BTC,2014-01-31,818.43,829.92,17107900.0,19.27,UP
279,BTC,2014-02-01,828.61,832.58,19668700.0,26.41,UP
280,BTC,2014-02-02,832.9,825.37,11300900.0,24.05,DOWN
281,BTC,2014-02-03,824.08,823.83,13940100.0,19.26,DOWN
282,BTC,2014-02-04,823.77,827.96,16609700.0,19.23,UP
283,BTC,2014-02-05,829.96,811.91,22395100.0,25.41,DOWN
284,BTC,2014-02-06,815.59,781.55,50108700.0,49.22,DOWN
285,BTC,2014-02-07,783.2,712.4,113643000.0,128.85,DOWN
286,BTC,2014-02-08,699.57,673.92,38742600.0,59.95,DOWN
287,BTC,2014-02-09,671.46,682.9,39311400.0,57.02,UP
